Id,Class
165,7
166,12
167,14
168,10
169,6
170,8
171,13
172,4
173,12
174,10
175,12
176,12
177,1
178,3
179,3
180,0
181,0
182,11
183,3
184,0
185,7
186,6
187,3
188,14
189,0
190,14
191,15
192,8
193,0
194,1
195,15
196,12
197,5
198,15
199,3
200,10
201,1
202,15
203,11
204,4
205,10
206,9
207,3
208,11
209,9
210,9
211,10
212,11
213,0
214,10
215,3
216,9
217,9
218,11
219,15
220,11
221,6
222,5
223,7
224,0
225,5
226,6
227,11
228,12
229,7
230,12
231,5
232,15
233,10
234,8
235,11
236,4
237,7
238,15
239,15
240,4
241,12
242,6
243,0
244,4
245,1
246,1
247,1
248,15
249,12
250,1
251,15
252,1
253,1
254,10
255,11
256,12
257,0
258,11
259,8
260,5
261,8
262,11
263,9
264,1
265,4
266,5
267,14
268,11
269,1
270,6
271,14
272,14
273,2
274,8
275,7
276,10
277,0
278,6
279,4
280,15
281,0
282,15
283,9
284,15
285,10
286,6
287,14
288,11
289,15
290,8
291,6
292,0
293,1
294,14
295,10
296,1
297,0
298,9
299,0
300,12
301,3
302,3
303,1
304,8
305,2
306,3
307,2
308,6
309,0
310,7
311,12
312,11
313,12
314,11
315,10
316,15
317,10
318,0
319,0
320,0
321,12
322,4
323,8
324,0
325,1
326,6
327,10
328,12
329,9
330,7
